nb_people,total_electric,switched_to_electric,total_relocations
10257,615,177,91
10437,796,180,93
10617,983,180,93
10797,1170,180,93
10977,1355,180,93
11157,1537,180,93
11337,1720,180,93
11517,1902,180,94
11697,2085,180,112
11877,2272,180,158
12057,2457,180,203
12237,2640,180,262
12417,2822,180,333
12597,3005,180,427
12777,3189,180,534
12957,3374,180,633
10257,615,177,91
10437,797,180,93
10617,977,180,93
10797,1159,180,93
10977,1347,180,113
11157,1530,180,208
11337,1713,180,356
11517,1896,180,570
11697,2078,180,764
11877,2262,180,993
12057,2447,180,1251
12237,2631,180,1658
12417,2816,180,2124
12597,2997,180,2656
12777,3180,180,3188
12957,3363,180,3731
10257,615,177,91
10437,797,180,93
10617,979,180,93
10797,1168,180,164
10977,1352,180,356
11157,1537,180,686
11337,1720,180,1041
11517,1903,180,1481
11697,2089,180,2131
11877,2271,180,2972
12057,2453,180,3905
12237,2634,180,4871
12417,2819,180,5838
12597,3001,180,6739
12777,3186,180,7566
12957,3368,180,8330
10257,615,177,91
10437,797,180,93
10617,987,180,114
10797,1171,180,363
10977,1353,180,788
11157,1537,180,1302
11337,1720,180,2153
11517,1904,180,3156
11697,2086,180,4176
11877,2268,180,5196
12057,2454,180,6216
12237,2638,180,7236
12417,2824,180,8256
12597,3008,180,9276
12777,3195,180,10296
12957,3375,180,11230
10257,615,177,91
10437,796,180,93
10617,979,180,211
10797,1162,180,681
10977,1345,180,1314
11157,1528,180,2317
11337,1712,180,3337
11517,1893,180,4357
11697,2079,180,5377
11877,2263,180,6397
12057,2446,180,7417
12237,2629,180,8437
12417,2813,180,9457
12597,2997,180,10477
12777,3179,180,11497
12957,3360,180,12517
10257,615,177,91
10437,796,180,93
10617,980,180,359
10797,1162,180,1013
10977,1350,180,2016
11157,1534,180,3036
11337,1719,180,4056
11517,1901,180,5076
11697,2084,180,6096
11877,2267,180,7116
12057,2454,180,8136
12237,2637,180,9156
12417,2819,180,10176
12597,3002,180,11196
12777,3186,180,12216
12957,3369,180,13236
10257,616,177,91
10437,798,180,96
10617,981,180,559
10797,1168,180,1488
10977,1356,180,2491
11157,1540,180,3511
11337,1725,180,4531
11517,1907,180,5551
11697,2089,180,6571
11877,2272,180,7591
12057,2455,180,8611
12237,2641,180,9631
12417,2825,180,10651
12597,3008,180,11671
12777,3191,180,12691
12957,3373,180,13711
10257,616,177,91
10437,799,180,116
10617,982,180,771
10797,1163,180,1774
10977,1348,180,2794
11157,1536,180,3814
11337,1719,180,4834
11517,1903,180,5854
11697,2087,180,6874
11877,2269,180,7894
12057,2453,180,8914
12237,2635,180,9934
12417,2819,180,10954
12597,3001,180,11974
12777,3187,180,12994
12957,3371,180,14014
10257,616,177,91
10437,801,180,175
10617,981,180,1010
10797,1162,180,2013
10977,1345,180,3033
11157,1525,180,4053
11337,1706,180,5073
11517,1890,180,6093
11697,2074,180,7113
11877,2256,180,8133
12057,2438,180,9153
12237,2620,180,10173
12417,2803,180,11193
12597,2985,180,12213
12777,3169,180,13233
12957,3355,180,14253
10257,617,177,91
10437,804,180,216
10617,985,180,1219
10797,1165,180,2231
10977,1348,180,3251
11157,1535,180,4271
11337,1719,180,5291
11517,1901,180,6311
11697,2082,180,7331
11877,2263,180,8351
12057,2446,180,9371
12237,2631,180,10391
12417,2814,180,11411
12597,2997,180,12431
12777,3185,180,13451
12957,3370,180,14471
